FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET
INUNDATION_OR_WETLAND,Flag indicating the fraction of inundation and wetland areas. Zero  means no inundation or wetland areas present,0,n/a,42,1,1,u-byte,1,42,5919
TOPOGRAPHICAL_COMPLEXITY,"Flag indicating the topographical complexity (equal to the normalised standard deviation of the elevation). Zero values mean flat, higher values mean complex topography",0,n/a,42,1,1,u-byte,1,42,5961
SIZE OF THE RECORD,,,,,,,,,,6003
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
