FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET,
INST_TEMPERATURE_SENSOR_ID,"Instrument sensor ID; 0=primary (H5 LO temperature [QBS5]), 1=backup (H1 LO temperature [QBS1])",0,NA,1,1,1,integer2,2,2,224,
PRIMARY_REF_TEMPERATURES,"Primary reference temperatures (from QBS5, minimum,nominal,and maximum)",2,K,3,1,1,integer2,2,6,226,
BACKUP_REF_TEMPERATURES,"Backup reference temperatures (from QBS1, minimum,nominal,and maximum)",2,K,3,1,1,integer2,2,6,232,
COLD SPACE BIAS CORRECTION,,,,,,,,,,238,
COLD_SPACE_BIAS_CORRECTION,"Cold Space Bias correction term, due to spacecraft and limb contamination (5 channels, 3 profiles)",3,K,5,3,1,integer2,2,30,238,
WARM LOAD BIAS CORRECTION,,,,,,,,,,268,
WARM_LOAD_BIAS_CORRECTION,"Warm load correction term, (5 channels, 3 instrument temperatures [minimum, nominal, maximum])",3,K,5,3,1,integer2,2,30,268,
NON LINEARITY CORRECTION  PARAMETERS (LO-A),,,,,,,,,,298,
NON_LINEARITY_COEFF_LOA_T1,"a(n), scan dependent non linearity parameter  at instrument temperature T1 (minimum temperature)",8,m**2 sr  cm**-1/mW,5,1,1,integer4,4,20,298,
NON_LINEARITY_COEFF_LOA_T2,"a(n), scan dependent non linearity parameter  at instrument temperature T2 (nominal temperature)",8,m**2 sr  cm**-1/mW,5,1,1,integer4,4,20,318,
NON_LINEARITY_COEFF_LOA_T3,"a(n), scan dependent non linearity parameter  at instrument temperature T3 (maximum temperature)",8,m**2 sr  cm**-1/mW,5,1,1,integer4,4,20,338,
NON LINEARITY CORRECTION  PARAMETERS (LO-B),,,,,,,,,,358,
NON_LINEARITY_COEFF_LOB_T1,"a(n), scan dependent non linearity parameter  at instrument backup temperature T1 (minimum temperature)",8,m**2 sr  cm**-1/mW,5,1,1,integer4,4,20,358,
NON_LINEARITY_COEFF_LOB_T2,"a(n), scan dependent non linearity parameter  at instrument backup temperature T2 (nominal temperature)",8,m**2 sr  cm**-1/mW,5,1,1,integer4,4,20,378,
NON_LINEARITY_COEFF_LOB_T3,"a(n), scan dependent non linearity parameter  at backup instrument temperature T3 (maximum temperature)",8,m**2 sr  cm**-1/mW,5,1,1,integer4,4,20,398,
TEMPERATURE-RADIANCE CONVERSION,,,,,,,,,,418,
CENTRAL_WAVENUMBER_H1,Channel H1 Central wavenumber,6,cm**-1,1,1,1,integer4,4,4,418,
TEMPERATURE_H1_INTERCEPT,Intercept for band correction channel H1,6,K,1,1,1,integer4,4,4,422,
TEMPERATURE_H1_SLOPE,Slope  for band correction channel H1,6,K/K,1,1,1,integer4,4,4,426,
CENTRAL_WAVENUMBER_H2,Channel H2 Central wavenumber,6,cm**-1,1,1,1,integer4,4,4,430,
TEMPERATURE_H2_INTERCEPT,Intercept for band correction channel H2,6,K,1,1,1,integer4,4,4,434,
TEMPERATURE_H2_SLOPE,Slope  for band correction channel H2,6,K/K,1,1,1,integer4,4,4,438,
CENTRAL_WAVENUMBER_H3,Channel H3 Central wavenumber,6,cm**-1,1,1,1,integer4,4,4,442,
TEMPERATURE_H3_INTERCEPT,Intercept for band correction channel H3,6,K,1,1,1,integer4,4,4,446,
TEMPERATURE_H3_SLOPE,Slope  for band correction channel H3,6,K/K,1,1,1,integer4,4,4,450,
CENTRAL_WAVENUMBER_H4,Channel H4 Central wavenumber,6,cm**-1,1,1,1,integer4,4,4,454,
TEMPERATURE_H4_INTERCEPT,Intercept for band correction channel H4,6,K,1,1,1,integer4,4,4,458,
TEMPERATURE_H4_SLOPE,Slope  for band correction channel H4,6,K/K,1,1,1,integer4,4,4,462,
CENTRAL_WAVENUMBER_H5,Channel H5 Central wavenumber,6,cm**-1,1,1,1,integer4,4,4,466,
TEMPERATURE_H5_INTERCEPT,Intercept for band correction channel H5,6,K,1,1,1,integer4,4,4,470,
TEMPERATURE_H5_SLOPE,Slope  for band correction channel H5,6,K/K,1,1,1,integer4,4,4,474,
SIZE OF THE RECORD,,,,,,,,,,478,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
