FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET,
TEMPERATURE_PRT_2,Temperature of PRT 2,3,K ,1,1,1,u-integer4,4,4,2305,
TEMPERATURE_PRT_3,Temperature of PRT 3,3,K ,1,1,1,u-integer4,4,4,2309,
TEMPERATURE_PRT_4,Temperature of PRT 4,3,K ,1,1,1,u-integer4,4,4,2313,
TEMPERATURE_PRT_5,Temperature of PRT 5,3,K ,1,1,1,u-integer4,4,4,2317,
DISCRETE TELEMETRY,,,,,,,,,,2321,
MAIN_BUS,"Main bus select (indicates which main bus is used by MHS); 1 (0V)=A bus (relay closed), 0 (5V)=B bus (relay opened)",0,N/A,1,1,1,u-byte,1,1,2321,
MHS_SURVIVAL_HEATER,"1= on, 0 = off",0,N/A,1,1,1,u-byte,1,1,2322,
RF_CONVERTER_PROTECT_DISABLE,"1 = no, 0 = yes",0,N/A,1,1,1,u-byte,1,1,2323,
MHS_POWER_A,"1= on, 0 = off",0,N/A,1,1,1,u-byte,1,1,2324,
MHS_POWER_B,"1= on, 0 = off",0,N/A,1,1,1,u-byte,1,1,2325,
MAIN_CONVERTER_PROTECT_DISABLE,"1 = no, 0 = yes",0,N/A,1,1,1,u-byte,1,1,2326,
SURVIVAL_TEMPS,"Survival temperatures; Word 1: Receiver temperature, Word 2: Electronics equipment temperature, Word 3: Scan mechanism temperature",0,counts,3,1,1,u-byte,1,3,2327,
TRANSMITTER_TELEM,"Transmitter telemetry (zero filled for Metop); Word 1: STX-1 status, Word 2: STX-2 status, Word 3: STX-3 status, Word 4: STX-4 status, Word 5: STX-1 power, Word 6: STX-2 power, Word 7: STX-3 power, Word 8: SARR-A power, Word 9: SARR-B power",0,counts,9,1,1,u-integer2,2,18,2330,
TELEMETRY_UPDATE,Discrete telemetry update (see MDR-1A),0,N/A,1,1,1,bitst(32),4,4,2348,
ASSOCIATED DATA ,,,,,,,,,,2352,
QUALITY_INDICATOR,Quality Indicator Bit Field,0,N/A,1,1,1,bitst(32),4,4,2352,
SCAN_LINE_QUALITY,Scan Line Quality Flags,0,N/A,1,1,1,bitst(32),4,4,2356,
DATA_CALIBRATION,Noise-Equivalent Delta T and Channel Quality Flags,0,N/A,5,1,1,DATA_CALQUAL,2,10,2360,
CALIBRATION COEFFICIENTS,,,,,,,,,,2370,
PRIMARY_CALIBRATION_SECOND_TERM,Primary Calibration Second Order Term a2 (H1-H5) ,16,mW/m2/sr/cm-1/cnt2,5,1,1,integer4,4,20,2370,
PRIMARY_CALIBRATION_FIRST_TERM,Primary Calibration First Order Term a1(H1-H5) ,10,mW/m2/sr/cm-1/cnt,5,1,1,integer4,4,20,2390,
PRIMARY_CALIBRATION_ZEROTH_TERM,Primary Calibration Zeroth Order Term a0 (H1-H5) ,6,mW/m2/sr/cm-1,5,1,1,integer4,4,20,2410,
SECONDARY_CALIBRATION_SECOND_TERM,Secondary Calibration Second Order Term  a2 (H1-H5) ,16,mW/m2/sr/cm-1/cnt2,5,1,1,integer4,4,20,2430,
SECONDARY_CALIBRATION_FIRST_TERM,Secondary Calibration First Order Term a1 (H1-H5) ,10,mW/m2/sr/cm-1/cnt,5,1,1,integer4,4,20,2450,
SECONDARY_CALIBRATION_ZEROTH_TERM,Secondary Calibration Zeroth Order Term a0 (H1-H5) ,6,mW/m2/sr/cm-1,5,1,1,integer4,4,20,2470,
CALIBRATION PARAMETERS,,,,,,,,,,2490,
AVERAGE_WARM_TARGET_CNT,Average warm target count,0,counts,5,1,1,u-integer2,2,10,2490,
AVERAGE_COLD_TARGET_CNT,Average cold target count,0,counts,5,1,1,u-integer2,2,10,2500,
ZERO_RADIANCE_CNT,Zero Radiance Count,0,counts,5,1,1,u-integer2,2,10,2510,
MEAN_WARM_TARGET_RAD,Mean warm target radiance,7,mW/m2/sr/cm-1,5,1,1,u-integer4,4,20,2520,
MEAN_COLD_TARGET_RAD,Mean cold target radiance,7,mW/m2/sr/cm-1,5,1,1,u-integer4,4,20,2540,
NONLINEARITY_PARAMETER,Non linearity parameter u,8,(mW/m2/sr/cm-1)**-1,5,1,1,u-integer4,4,20,2560,
NAVIGATION DATA AT SCAN LINE,,,,,,,,,,2580,
TIME_ATTITUDE,Time Associated with Attitude Angles,0,s,1,1,1,u-integer4,4,4,2580,
EULER_ANGLE,"Euler Angles: Roll, Pitch, Yaw",3,deg,3,1,1,integer2,2,6,2584,
NAVIGATION_STATUS,Navigation Status Bit Field,0,N/A,1,1,1,bitst(32),4,4,2590,
SPACECRAFT_ALTITUDE,Spacecraft Altitude Above Reference Geoid (MSL) ,1,km,1,1,1,u-integer4,4,4,2594,
ANGULAR_RELATION,"Angular relationships: solar zenith angle, satellite zenith angle, solar azimuth angle, satellite azimuth angle - (points 1 to 90). Note: azimuth angle range is -180 to +180, where minus is west and plus is east.",2,deg,4,90,1,integer2,2,720,2598,
EARTH_LOCATION,"Earth Location: latitude, longitude (point 1 to 90)",4,deg,2,90,1,integer4,4,720,3318,
SURFACE_PROPERTIES,"Surface property (0 = water, 1 = mixed/coast, 2 = land) (point 1 to 90)",0,,90,1,1,enumerated,1,90,4038,
TERRAIN_ELEVATION,Average terrain elevation (point 1 to 90),0,m,90,1,1,integer2,2,180,4128,
LUNAR_ANGLES,"Angles between moon and individual space views (between 0 and 180 degrees, one word for each of the four space views)",2,deg,4,1,1,u-integer2,2,8,4308,
SIZE OF THE RECORD,,,,,,,,,,4316,
