FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET,,,
A2_RF_MUX_TEMPERATURE,A2 RF mux temperature,0,counts,1,1,1,u-integer2,2,2,3386,,,
A2_MIXER_AMPLIFIER_TEMPERATURE,A2 Mixer/IF amplifier temperature (ch 1-2),0,counts,2,1,1,u-integer2,2,4,3388,,,
A2_OSCILLATOR_TEMPERATURE_CH1TO2,A2 Local oscillator temperature (ch 1-2),0,counts,2,1,1,u-integer2,2,4,3392,,,
A2_COMPENSATION_MOTOR_TEMPERATURE,A2 Compensation motor temperature,0,counts,1,1,1,u-integer2,2,2,3396,,,
A2_SUBREFLECTOR_TEMPERATURE,A2 subreflector temperature,0,counts,1,1,1,u-integer2,2,2,3398,,,
A2_DC_CONVERTER_TEMPERATURE,A2 DC/DC converter temperature,0,counts,1,1,1,u-integer2,2,2,3400,,,
A2_RF_SHELF_TEMPERATURE,A2 RF shelf temperature,0,counts,1,1,1,u-integer2,2,2,3402,,,
A2_DETECTOR_PREAMPLIFIER_TEMPERATURE,Detector/preamp assembly temperature,0,counts,1,1,1,u-integer2,2,2,3404,,,
A2_WARM_TEMPERATURE_PRT1TO7,A2 warm target temp (PRT 1-6 and center 7),0,counts,7,1,1,u-integer2,2,14,3406,,,
A2_REFERENCE_VOLTAGE,Reference voltage,0,counts,1,1,1,u-integer2,2,2,3420,,,
AMSU-A2 Digital B Telemetry Flags,,,,,,,,,,3422,,,
AMSU_A2_INVALID_WORD_FLAG,"Invalid word bit flags:(if bit=0, associated AMSU-A2 digital B  telemetry data in following field is valid)",0,N/A,1,1,1,bitst(16),2,2,3422,,,
AMSU_A2_DIGITALB_FLAG,AMSU-A2 digital B telemetry data flags,0,N/A,1,1,1,bitst(16),2,2,3424,,,
AMSU-A2 Analog Housekeeping Data ,,,,,,,,,,3426,,,
AMSU_A2_INVALID_ANALOG_WORD_FLAG,"Invalid word bit flags: (if bit=0, associated AMSU-A2 analog housekeeping telemetry word in following fields is valid)",0,N/A,1,1,1,bitst(32),4,4,3426,,,
A2_ANALOG_SCANNER_MOTOR_TEMPERATURE,A2 scanner motor temperature,0,counts,1,1,1,u-integer2,2,2,3430,,,
A2_ANALOG_COMPENSATOR_MOTOR_TEMPERATURE,A2 Compensator motor temperature,0,counts,1,1,1,u-integer2,2,2,3432,,,
A2_ANALOG_RF_SHELF_TEMPERATURE,A2 RF shelf temperature,0,counts,1,1,1,u-integer2,2,2,3434,,,
A2_ANALOG_WARM_TEMPERATURE,A2 warm load temperature,0,counts,1,1,1,u-integer2,2,2,3436,,,
A2_ANALOG_COMENSATOR_MOTOR_CURRENT,Compensator motor current (Avg),0,counts,1,1,1,u-integer2,2,2,3438,,,
A2_ANALOG_ANTENNA-DRIVE_MOTOR_CURRENT,A2 antenna drive motor current (Avg),0,counts,1,1,1,u-integer2,2,2,3440,,,
A2_ANALOG_PLUS15_SIGNAL_PROCESSING,+15V signal processing,0,counts,1,1,1,u-integer2,2,2,3442,,,
A2_ANALOG_PLUS15_ANTENNA-DRIVE,+15V antenna drive,0,counts,1,1,1,u-integer2,2,2,3444,,,
A2_ANALOG_MINUS15_SIGNAL_PROCESSING,-15V signal processing,0,counts,1,1,1,u-integer2,2,2,3446,,,
A2_ANALOG_MINUS15_ANTENNA-DRIVE,-15V antenna drive,0,counts,1,1,1,u-integer2,2,2,3448,,,
A2_ANALOG_PLU10_RECEIVER,+10V receiver ,0,counts,1,1,1,u-integer2,2,2,3450,,,
A2_ANALOG_PLUS5_SIGNAL_PROCESSING,+5V signal processing,0,counts,1,1,1,u-integer2,2,2,3452,,,
A2_ANALOG_PLUS5_ANTENNA-DRIVE,+5V antenna drive,0,counts,1,1,1,u-integer2,2,2,3454,,,
A2_ANALOG_GDO_VOLTAGE_CH1,GDO Voltage 23.8 GHz (ch 1),0,counts,1,1,1,u-integer2,2,2,3456,,,
A2_ANALOG_GDO_VOLTAGE_CH2,GDO Voltage 31.4 GHz (ch 2),0,counts,1,1,1,u-integer2,2,2,3458,,,
MOON DATA,,,,,,,,,,3460,,,
AMSU_A1_LUNAR_ANGLE,Angle between moon and space view for AMSU-A1,2,degrees,1,1,1,integer2,2,2,3460,,,
AMSU_A2_LUNAR_ANGLE,Angle between moon and space view for AMSU-A2,2,degrees,1,1,1,integer2,2,2,3462,,,
SIZE OF THE MDR ,,,,,,,,,,3464,,,
